Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34640861,The Reactionary Mind: Conservatism from Edmund Burke to Donald Trump,Robin,"Robin, Robin",,"=""0190692006""","=""9780190692001""",4,Oxford University Press,Paperback,330,2017,,2021/03/25,2021/03/08,,,read,,,,1,0
256008,"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,"McMurtry, Larry",,"=""067168390X""","=""9780671683900""",0,Pocket Books,Mass Market Paperback,960,1999,1985,,2026/03/11,currently-reading,currently-reading (#1),currently-reading,,,,1,0
139069,Endurance: Shackleton's Incredible Voyage,Alfred Lansing,"Lansing, Alfred",,"=""""","=""""",5,Carroll & Graf Publishers,Hardcover,282,1999,1959,2026/03/10,2026/03/05,,,read,,,,1,0
2823,The Birth of Tragedy,Friedrich Nietzsche,"Nietzsche, Friedrich","Shaun Whiteside, Michael Tanner","=""0140433392""","=""9780140433395""",0,Penguin Classics,Paperback,121,2003,1871,,2025/06/20,on-the-bookshelf,on-the-bookshelf (#102),on-the-bookshelf,,,,1,0
135479,Cat’s Cradle,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",0,Penguin,Paperback,306,1999,1963,,2026/03/05,on-the-bookshelf,on-the-bookshelf (#101),on-the-bookshelf,,,,0,0
8146619,The Right Stuff,Tom Wolfe,"Wolfe, Tom",,"=""""","=""""",5,,Kindle Edition,369,2004,1979,2026/03/05,2026/03/05,,,read,,,,1,0
12370085,All the Lights,Clemens Meyer,"Meyer, Clemens",,"=""1908276010""","=""9781908276018""",0,And Other Stories,Paperback,240,2011,2008,,2026/03/05,to-read,to-read (#70),to-read,,,,0,0
325785,"Capital: A Critique of Political Economy, Volume 1",Karl Marx,"Marx, Karl",,"=""0140445684""","=""9780140445688""",5,Penguin Classics,Paperback,1152,1992,1867,2020/07/31,2020/09/02,,,read,,,,1,0
1105434,Essays on Thomas Mann,György Lukács,"Lukács, György",Stanley Mitchell (Translator),"=""0850362385""","=""9780850362381""",0,Merlin Press,Paperback,172,1995,,,2025/06/21,on-the-bookshelf,on-the-bookshelf (#100),on-the-bookshelf,,,,0,0
985519,"The Masks of God, Volume 4: Creative Mythology",Joseph Campbell,"Campbell, Joseph",,"=""""","=""""",0,Penguin,Paperback,752,1991,1968,,2025/06/21,on-the-bookshelf,on-the-bookshelf (#99),on-the-bookshelf,,,,0,0
